ACCESSION_NUMBER	OTHERINCLUDEDMANAGERSCOUNT	TABLEENTRYTOTAL	TABLEVALUETOTAL	ISCONFIDENTIALOMITTED
0000905148-24-003161	0	3	114434781	
0001178913-24-003720	2	84	1856137371	
0000950123-24-011848	0	1	0	N
0001085146-24-005953	0	1	0	N
0001222765-24-000021	0	75	986649873	
0001085146-24-005952	0	14	431937600	N
0001085146-24-005951	0	2	7083000	N
0001104659-24-119001	0	9	1500159310	
0000905148-24-003156	1	3	276861880	
0001104659-24-119000	0	24	45088138767	
0001222765-24-000020	0	61	961784401	
0001062993-24-019154	0	1885	679695105	N
0001858353-24-000007	0	14	195567840	N
0001104659-24-118998	0	574	8529059010	
0000905148-24-003155	0	12	168812883	
0001645721-24-000021	0	31	542089247	N
0000950123-24-011843	0	6269	25282260823	N
0000902664-24-006606	0	1	0	
0001418812-24-000021	1	10	3935680378	N
0000899140-24-001268	0	3	140589652	
0001936416-24-000017	2	167	4182198695	
0001772937-24-000009	2	82	524762	N
0001767343-24-000005	0	219	243599807	N
0000902664-24-006605	1	12	1973328112	
0001172661-24-005240	2	79	2402923277	
0000950123-24-011841	0	1	17455003	N
0000919574-24-006743	1	10	1158477430	
0002011176-24-000005	0	3	210464889	N
0000905148-24-003152	0	85	1866046989	
0000902664-24-006604	1	48	4555210309	
0001466697-24-000025	0	895	1971612	N
0001081668-24-000014	0	51	278378256	N
0000950123-24-011839	0	6	69578070	N
0001512805-24-000028	2	458	2344049065	N
0000950123-24-011838	0	11	1450561001	N
0000899140-24-001265	0	34	1190093994	
0001600151-24-000004	0	704	1166346	N
0001085146-24-005949	0	0	0	N
0001949877-24-000015	0	14	257093176	N
0001222765-24-000019	0	58	1013370559	
0000905148-24-003150	1	10	212735259	
0001564702-24-000019	0	710	1128630252	N
0001172661-24-005236	0	14	88576505	
0000950123-24-011836	2	489	20630441945	N
0001920938-24-000006	0	81	3527985574	N
0001104659-24-118986	0	36	215799923	
0000905148-24-003149	0	7	381993699	
0001580642-24-006981	0	180	5801826114	
0001222765-24-000018	0	81	1119242699	
0001481669-24-000007	0	38	12683018040	N
0001104659-24-118983	0	6	502600502	
0001729254-24-000004	0	499	280297692	N
0000950123-24-011834	0	114	336022611	N
0001866574-24-000006	0	22	671935	N
0001085146-24-005948	2	274	493779956	N
0001765923-24-000011	0	50	422037604	N
0000905148-24-003148	0	7	129977052	
0001085146-24-005947	0	0	0	N
0001222765-24-000017	0	76	1167648817	
0001085146-24-005946	0	0	0	N
0001172661-24-005230	1	130	857728156	
0000950123-24-011833	2	14	1034026685	N
0001085146-24-005945	0	152	657435976	N
0000919574-24-006741	0	17	2229627043	
0000905148-24-003147	0	6	194333956	
0001085146-24-005944	0	0	0	N
0001085146-24-005943	6	7191	72440303948	N
0001104659-24-118975	0	3	43659366	
0000905148-24-003146	0	15	4589023627	
0001085146-24-005942	2	534	4603085303	N
0001172661-24-005227	0	23	283091321	
0001172661-24-005224	0	66	3575916843	
0001085146-24-005941	0	1	307859994	N
0001017115-24-000004	0	209	345683490	N
0001085146-24-005940	0	19	312584775	N
0001085146-24-005939	0	16	828079018	N
0001222765-24-000016	0	75	1267688227	
0001045810-24-000305	0	6	432912455	N
0001839882-24-039256	0	1	2063879249	
0000905148-24-003144	0	1	0	Y
0001697868-24-000008	0	8	4500146048	N
0001104659-24-118967	0	6	626248922	
0001104659-24-118963	0	27	45051638	
0000905148-24-003142	0	3	172100371	
0001172661-24-005221	0	80	267753665	
0001104659-24-118962	0	2	77938743	
0001573876-24-000011	39	4719	4837070162	
0000899140-24-001258	0	3	994834745	
0001966440-24-000008	0	1	8978860	N
0001085146-24-005937	0	27	1294291959	N
0001104659-24-118958	0	2	298760176	
0001104659-24-118956	0	7	535104813	
0001799456-24-000009	0	46	1287891382	N
0000905148-24-003140	0	46	5168460595	
0001104659-24-118954	0	5	180455253	
0001172661-24-005218	0	11	12916077581	
0001172661-24-005217	0	28	1440287573	
0001085146-24-005936	0	15	720075298	N
0001104659-24-118950	0	38	1909252051	
0001104659-24-118949	0	15	712297259	
0001012975-24-000490	0	4	15370265	N
0001839882-24-039253	0	35	5866713482	
0002011176-24-000004	0	222	141176876	N
0001104659-24-118943	0	38	409852921	
0001104659-24-118942	0	1	47570573	
0000905148-24-003138	0	6	1305299279	
0001449434-24-000010	1	49	7228665926	N
0001104659-24-118941	0	2	86119994	
0001033475-24-000007	0	66	986326029	N
0001493152-24-045896	1	10	2039923643	
0001104659-24-118935	0	3	1089575198	
0001104659-24-118934	0	63	1697433149	
0001909393-24-000007	0	21	88966301	N
0001104659-24-118933	0	42	520276874	
0001798849-24-000012	0	48	13667960621	
0001104659-24-118931	4	1333	1565762371	
0001085146-24-005935	0	1988	14991121606	N
0000921895-24-002708	0	21	198546858	
0001062993-24-019146	0	58	913465394	N
0000899140-24-001256	0	3	41024143	
0000902664-24-006600	0	8	836403185	
0001104659-24-118924	0	10	146330665	
0001104659-24-118921	0	28	484004999	
0000950123-24-011822	1	4	1023885578	N
0001172661-24-005214	0	24	4146373710	
0000950123-24-011814	8	13	630008234	N
0000950123-24-011810	3	5	455010871	N
0001398344-24-020870	0	4	334565008	
0000950123-24-011811	3	2	4838261541	N
0001398344-24-020869	0	395	2038573331	
0001420506-24-002565	0	10	166075357	N
