ACCESSION_NUMBER	OTHERMANAGER_SK	CIK	FORM13FFILENUMBER	CRDNUMBER	SECFILENUMBER	NAME
0000950123-24-004171	176027		028-18172			abrdn plc
0000950123-24-004171	176040		028-00074			Jennison Associates LLC
0000898432-24-000383	176316	0001697728	028-17864			Dai-ichi Life Insurance Company, Ltd
0000898432-24-000383	176317	0000355429	028-18945			PROTECTIVE LIFE CORP
0000898432-24-000383	176318	0000752798	028-18928			CONCOURSE FINANCIAL GROUP SECURITIES, INC.
0001140361-24-025115	176263	0001000275	028-11396			Royal Bank of Canada
0001140361-24-025109	175990	0001000275	028-11396			Royal Bank of Canada
0001140361-24-025107	176259	0001000275	028-11396			Royal Bank of Canada
0001140361-24-025102	176444	0001000275	028-11396			Royal Bank of Canada
0001664212-24-000005	176541	0001463217	028-13508	000134600	801-64376	UNITED CAPITAL FINANCIAL ADVISORS, LLC
0001664212-24-000005	176539	0000915325	028-04032	000315440	801-121830	BADGLEY PHELPS & BELL INC
0001664212-24-000005	176540	0001502976	028-14331	000038123	8-48110	BRINKER CAPITAL INC
0001172661-24-002111	176684	0001697110	028-17692	000158369	801-72707	GenTrust, LLC
0001172661-24-002110	176017	0001557017	028-17203	000163729	802-113693	Capula Management Ltd
0001172661-24-002109	176532	0001557017	028-17203	000163729	802-113693	Capula Management Ltd
0001062993-24-009707	176003	0001388167	028-12126			ClariVest Asset Management LLC
0001140361-24-025091	176019	0001080818	028-04371			ENTRUST GLOBAL PARTNERS L L C
0001507115-24-000004	176009		028-10986			Madison Asset Management, LLC
0001507115-24-000004	176010					Tidal Investments LLC
0001062993-24-009705	176124	0001161927	028-10260			SCOUT INVESTMENTS, INC.
0001062993-24-009705	176126	0001616525	028-16224			CHARTWELL INVESTMENT PARTNERS, LLC
0001062993-24-009705	176125	0001388167	028-12126			ClariVest Asset Management LLC
0001062993-24-009705	176123	0000790502	028-01666			EAGLE ASSET MANAGEMENT INC
0001325447-24-000024	176061	0001325447	028-11953	000108260	801-50659	First Eagle Investment Management, LLC
0001628280-24-022000	176340		028-05353			BP PLC
0001085146-24-002352	176454	0001844495	028-20944	000301040	801-117460	Wealthspring Capital LLC
0001214659-24-008652	176438	0001452208	028-14121			CACTI ASSET MANAGEMENT LLC
0001902383-24-000001	176458	0001900110	028-21524			DGS Capital Management, LLC
0001398344-24-009044	176546	0001080380	028-04685	000123546	801-64500	PROSPECTOR PARTNERS LLC
0001172661-24-002095	176303	0001845766	028-20760	000283303	801-110652	Lebenthal Global Advisors, LLC
0001213900-24-041037	176456	0001590495	028-23416			Yelin Lapidot Holdings Management Ltd.
0001213900-24-041035	176695	0001590495	028-23416			Yelin Lapidot Holdings Management Ltd.
