FILINGMANAGER_NAME,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4
"Asset Dedication, LLC",,45.83,11.43,81.03,10.76,23.27,7.26,41.78,-22.65,-25.93,-10.48,-5.32,20.22,7.24,-24.4,64.55,29.77,100792.85,-15.63,-37.37
Atala Financial Inc,,,,,,,,,,,,,,,,,,,,inf
Atika Capital Management LLC,,,,,,,,,,,,,,,,inf,-100.0,inf,-100.0,
"Atlanta Consulting Group Advisors, LLC",,,,,,,,,,,,,,,,,inf,-100.0,,
"Atlantic Edge Private Wealth Management, LLC",,,,,,,,,,,,,,,,,,,,inf
"Atlantic Private Wealth, LLC",,,,,,,,,,,,,inf,6.73,-18.61,28.84,28.4,5.57,-18.39,-16.65
Atlantic Union Bankshares Corp,,,,,,,,,,,,,,,,,,inf,-24.75,-39.33
"Atlas Brown,Inc.",,,,,,inf,7.69,7.14,-16.25,-100.0,,,inf,6.47,-100.0,inf,28.21,5.39,6.65,-8.48
Atlas Private Wealth Advisors,,,,inf,100.0,-100.0,,,,,,,,,,,,,,
Atom Investors LP,,,,,,,,,,,,,,,inf,-100.0,inf,-1.98,11.41,-73.41
"Atomi Financial Group, Inc.",,,,,,,,,,,,,,,inf,342.09,53.96,38.13,-34.87,13.17
"Atreides Management, LP",,,,,,,,,,,,,,,,,,,,inf
"Atria Investments, Inc",,,,,,,,,,,,inf,36.69,-0.45,-12.27,25.52,22.79,9.28,-21.42,-24.05
"Aureus Asset Management, LLC",,,,inf,26.41,-19.52,7.66,7.11,-11.07,-100.0,,,,,,inf,45.26,-14.01,-14.0,-100.0
Aurora Investment Counsel,,,,,,,,,inf,72.16,-61.67,150331.69,136.57,-48.14,-19.81,9.68,-5.87,-86.6,-100.0,
"Ausdal Financial Partners, Inc.",,,,,,,,,,,,,,inf,-100.0,,inf,-18.89,25.57,-32.59
"Austin Private Wealth, LLC",,,,,,,,,,,,,inf,10.82,-5.77,36.19,37.46,112.37,-37.52,-10.01
AustralianSuper Pty Ltd,,,,,,,,,,,,,,,,inf,-100.0,,,
"Authentikos Wealth Advisory, LLC",,,,,,,,,,,,,,,inf,-100.0,,,,
Autonomy Capital (Jersey) L.P.,,,,inf,-100.0,,,,inf,-100.0,inf,131462.38,22.61,6.47,-100.0,inf,-100.0,,,
"Autumn Glory Partners, LLC",,,,,,,,,,,,,,,,,,,inf,134.31
"Auxano Advisors, LLC",,,,,,,,,,,,,,,,,,,,inf
Avalon Investment & Advisory,,33.01,0.46,32.29,-60.77,32.31,-7.22,-29.61,35.27,-31.61,-16.06,25.61,125922.76,-100.0,,,,,,
Avalon Trust Co,,,,,,,,,,,,,inf,6.47,-18.78,28.58,28.21,5.38,29376.17,-15.56
"Avantra Family Wealth, Inc.",,,,,,,,,,,,,,,,,,,,inf
"Aveo Capital Partners, LLC",,,,,,,,,,,,,inf,37.36,-23.61,223.24,-36.04,-17.29,-18.36,-5.49
"Avestar Capital, LLC",,,,,,,inf,8.84,5.17,-100.0,,,inf,-100.0,,inf,102.03,69.79,-16.26,5.29
"Aviance Capital Partners, LLC",,,,,,,,inf,-55.23,-91.02,-12.83,-100.0,,,,,,,,
"Avidian Wealth Enterprises, LLC",,,,,,,,,,,,,,,,,,,inf,166.08
"Avidian Wealth Solutions, LLC",,,,,,,,,,,,,,,,,inf,22.26,-100.0,
Avion Wealth,,,,,,,,,,inf,-100.0,,,,,inf,0.0,0.0,-100.0,
