ACCESSION_NUMBER,INFOTABLE_SK,NAMEOFISSUER,TITLEOFCLASS,CUSIP,FIGI,VALUE,SSHPRNAMT,SSHPRNAMTTYPE,PUTCALL,INVESTMENTDISCRETION,OTHERMANAGER,VOTING_AUTH_SOLE,VOTING_AUTH_SHARED,VOTING_AUTH_NONE,issuer_lower,FILINGMANAGER_NAME,REPORTCALENDARORQUARTER,DATEREPORTED,REPORTCALENDARORQUARTER_dt
0001362033-22-000007,73472659,AMAZON COM INC,COM,023135106,,459,4060,SH,,SOLE,,4060,0,0,amazon com inc,GSA CAPITAL PARTNERS LLP,30-SEP-2022,,2022-09-30
0001714093-22-000004,74579371,AMAZON COM INC,COM,023135106,,206,1827,SH,,SOLE,,1827,0,0,amazon com inc,Garner Asset Management Corp,30-SEP-2022,,2022-09-30
0001951757-22-000025,73796878,AMAZON.COM INC,COMMON,023135106,,352,3113,SH,,SOLE,,0,0,3113,amazon.com inc,WEALTHCARE CAPITAL MANAGEMENT LLC,30-SEP-2022,,2022-09-30
0001761645-22-000004,73711618,AMAZON COM INC,COM,023135106,,7893,69851,SH,,SOLE,,0,0,69851,amazon com inc,"Hotaling Investment Management, LLC",30-SEP-2022,,2022-09-30
0001907254-22-000004,74690172,AMAZON COM INC,COM,023135106,,6735,59601,SH,,SOLE,,0,0,59601,amazon com inc,WEALTH EFFECTS LLC,30-SEP-2022,,2022-09-30
0001172661-22-002497,74717570,AMAZON COM INC,COM,023135106,,53852,476570,SH,,SOLE,,476570,0,0,amazon com inc,"Nippon Life Global Investors Americas, Inc.",30-SEP-2022,,2022-09-30
0001134007-22-000009,73692019,Amazon.Com,COM,023135106,,5128,45385,SH,,SOLE,,45385,0,0,amazon.com,NEXT CENTURY GROWTH INVESTORS LLC,30-SEP-2022,,2022-09-30
0001812792-22-000005,74143110,AMAZON COM INC,COM,023135106,,3901,34522,SH,,SOLE,0,0,0,34522,amazon com inc,"Intrua Financial, LLC",30-SEP-2022,,2022-09-30
0001681681-22-000007,73372421,AMAZON COM INC,COM,023135106,,3096,27400,SH,Put,SOLE,,0,0,27400,amazon com inc,"Lido Advisors, LLC",30-SEP-2022,,2022-09-30
0001681681-22-000007,73372420,AMAZON COM INC,COM,023135106,,361,3200,SH,Call,SOLE,,0,0,3200,amazon com inc,"Lido Advisors, LLC",30-SEP-2022,,2022-09-30
0001681681-22-000007,73372419,AMAZON COM INC,COM,023135106,,57476,508641,SH,,SOLE,,0,0,508641,amazon com inc,"Lido Advisors, LLC",30-SEP-2022,,2022-09-30
0001140361-22-041289,73218851,Amazon Com Inc,COM,023135106,,17818,157683,SH,,SOLE,,153253,0,4430,amazon com inc,"Callahan Advisors, LLC",30-SEP-2022,,2022-09-30
0001635663-22-000005,73940887,AMAZON.COM INC,Common Stock,023135106,,3396,30053,SH,,SOLE,,30053,0,0,amazon.com inc,"Steamboat Capital Partners, LLC",30-SEP-2022,,2022-09-30
0001606134-22-000004,74449563,AMAZON COM INCORPORATED,COM,023135106,,5663,56191,SH,,SOLE,,56191,0,0,amazon com incorporated,"SCHOLTZ & COMPANY, LLC",30-SEP-2022,,2022-09-30
0001525109-22-000005,73803264,AMAZON COM INC,COM,023135106,,4601,40718,SH,,SOLE,,40718,0,0,amazon com inc,"Wills Financial Group, Inc.",30-SEP-2022,,2022-09-30
0001891904-22-000003,73259999,AMAZON COM INC              ,COM,023135106,,20177,178560,SH,,SOLE,0,178560,0,0,amazon com inc              ,Octahedron Capital Management L.P.,30-SEP-2022,,2022-09-30
0000799004-22-000011,73306666,AMAZON COM INC,COM,023135106,,2443,21622,SH,,SOLE,,17842,0,3780,amazon com inc,BECKER CAPITAL MANAGEMENT INC,30-SEP-2022,,2022-09-30
0001086364-22-000004,95996734,AMAZON COM INC,COM,023135106,,2132626,18872797,SH,,SOLE,26,7118642,0,11754155,amazon com inc,BlackRock Inc.,30-SEP-2022,,2022-09-30
0001086364-22-000004,95996740,AMAZON COM INC,COM,023135106,,569030,5035661,SH,,SOLE,34,5035661,0,0,amazon com inc,BlackRock Inc.,30-SEP-2022,,2022-09-30
0001086364-22-000004,95996739,AMAZON COM INC,COM,023135106,,225731,1997619,SH,,SOLE,32,1997619,0,0,amazon com inc,BlackRock Inc.,30-SEP-2022,,2022-09-30
0001086364-22-000004,95996738,AMAZON COM INC,COM,023135106,,265934,2353401,SH,,SOLE,31,2187194,0,166207,amazon com inc,BlackRock Inc.,30-SEP-2022,,2022-09-30
0001086364-22-000004,95996737,AMAZON COM INC,COM,023135106,,5268925,46627655,SH,,SOLE,30,46462142,0,165513,amazon com inc,BlackRock Inc.,30-SEP-2022,,2022-09-30
0001086364-22-000004,95996736,AMAZON COM INC,COM,023135106,,18794,166318,SH,,SOLE,29,166318,0,0,amazon com inc,BlackRock Inc.,30-SEP-2022,,2022-09-30
